Id,Attributes,
APP\PREMISES-TRANS\000617, black,  Application
2011/1958/TC, black,  Application
2013/6770/TC, black,  Application
APP\TEN\012329, black,  Application
2013/6754/TC, black,  Application
Greggs PLC, blue,  Premise
Giotto Restaurant, blue,  Premise
APP\PREMISES-VARY\000900, black,  Application
43499, black,  Application
SSL-RNW\00103, black,  Application
APP\TEN\013130, black,  Application
APP\PREMISES-VARY\000843, black,  Application
APP\PREMISES-VARYDPS\002102, black,  Application
APP\TEN\006074, black,  Application
APP\PREMISES-VARYDPS\002534, black,  Application
APP\LATE-TEN\001295, black,  Application
APP\TEN\013264, black,  Application
APP\LATE-TEN\000646, black,  Application
APP\PREMISES-MVARY\00607, black,  Application
2009/2245/TC, black,  Application
APP\TEN\010104, black,  Application
APP\PREMISES-MVARY\00223, black,  Application
APP\TEN\008518, black,  Application
APP\TEN\011440, black,  Application
APP\TEN\006329, black,  Application
APP\PERSONAL-ADD\000062, black,  Application
APP\PREMISES-NEW\000989, black,  Application
APP\LATE-TEN\001845, black,  Application
APP\LATE-TEN\001093, black,  Application
APP\PREMISES-CONV\001056, black,  Application
APP\PREMISES-MVARY\00326, black,  Application
APP\PREMISES-NEW\001703, black,  Application
APP\PREMISES-ITN\000024, black,  Application
APP\LATE-TEN\000657, black,  Application
APP\PREMISES-VARYDPS\000290, black,  Application
APP\PERSONAL-ADD\000261, black,  Application
APP\PREMISES-VARYDPS\001501, black,  Application
APP\PERSONAL-NEW\001933, black,  Application
43521, black,  Application
APP\LATE-TEN\000744, black,  Application
APP\TEN\006688, black,  Application
APP\PERSONAL-NEW\003078, black,  Application
APP\PREMISES-NEW\000523, black,  Application
APP\PREMISES-VARYDPS\004210, black,  Application
APP\PREMISES-VARY(T)\000330, black,  Application
APP\PREMISES-XREV\, black,  Application
APP\TEN\007463, black,  Application
APP\PREMISES-TRANS\001152, black,  Application
APP\PREMISES-VARYDPS\001720, black,  Application
London Institute Student's Union Social Club, blue,  Premise
APP\PREMISES-VARY\000097, black,  Application
APP\TEN\007345, black,  Application
APP\TEN\007323, black,  Application
APP\LATE-TEN\000369, black,  Application
APP\PERSONAL-NEW\002358, black,  Application
APP\TEN\008894, black,  Application
APP\PERSONAL-ADD\000617, black,  Application
APP\PREMISES-VARY\000145, black,  Application
APP\LATE-TEN\001649, black,  Application
APP\PREMISES-REV\000126, black,  Application
APP\TEN\012010, black,  Application
APP\TEN\008246, black,  Application
APP\PREMISES-VARYDPS\000795, black,  Application
APP\PERSONAL-CONV\000722, black,  Application
Magdala, blue,  Premise
APP\TEN\012548, black,  Application
51156, black,  Application
NOI\00030, black,  Application
APP\TEN\003120, black,  Application
APP\PREMISES-CONV\000030, black,  Application
APP\TEN\011759, black,  Application
2015/3570/TC, black,  Application
43670, black,  Application
APP\PREMISES-NEW\001216, black,  Application
2015/0370/TC, black,  Application
APP\TEN\009978, black,  Application
APP\PREMISES-CONV\000161, black,  Application
1A Mornington Court, blue,  Premise
APP\TEN\009531, black,  Application
Diamond Supermarket, blue,  Premise
APP\PREMISES-NEW\001616, black,  Application
2010/3285/TC, black,  Application
APP\TEN\012287, black,  Application
Green Door, blue,  Premise
APP\TEN\006474, black,  Application
APP\TEN\007278, black,  Application
Wagamama, blue,  Premise
APP\PREMISES-TRANS\000538, black,  Application
APP\PREMISES-VARYDPS\001087, black,  Application
APP\PERSONAL-CONV\000621, black,  Application
The Plough, blue,  Premise
APP\TEN\009813, black,  Application
APP\PREMISES-VARY(T)\000563, black,  Application
2016/3977/TC, black,  Application
APP\TEN\013262, black,  Application
APP\PREMISES-NEW\001690, black,  Application
2013/5286/TC, black,  Application
APP\PREMISES-C-LIC\0201, black,  Application
APP\PERSONAL-NEW\000656, black,  Application
APP\PREMISES-VARYDPS\000735, black,  Application
APP\PREMISES-VARYDPS\002118, black,  Application
APP\TEN\006994, black,  Application
APP\PREMISES-VARY\000572, black,  Application
APP\PREMISES-CONV\000156, black,  Application
APP\PERSONAL-CONV\000488, black,  Application
APP\TEN\013353, black,  Application
APP\TEN\001929, black,  Application
APP\TEN\002984, black,  Application
APP\TEN\007855, black,  Application
APP\PREMISES-TRANS\001035, black,  Application
APP\LATE-TEN\001361, black,  Application
The Polycystic Kidney Disease Charity, blue,  Premise
APP\PERSONAL-CONV\000729, black,  Application
APP\PREMISES-VARY\000233, black,  Application
APP\PREMISES-VARYDPS\001194, black,  Application
APP\PERSONAL-NEW\002148, black,  Application
APP\TEN\005063, black,  Application
