Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI
APP\TEN\005079,Temporary Event Notice,The Abbey Tavern,"124 KENTISH TOWN ROAD, LONDON, NW1 9QB",LA2003,Application Approved,No,26/05/2010,,,,19/05/2010,17/05/2010,,,E05000131,Cantelowes,529008.65,184633.75,-0.140946,51.54587,Nearest OS Open Map-Local Building,11/05/2017 07:37:24 PM,"(51.54587, -0.140946)",16296,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\002548,Temporary Event Notice,Kentish Town City Farm,"1 CITY FARM CRESSFIELD CLOSE, LONDON, NW5 4BN",LA2003,Application Approved,No,08/08/2008,,,,10/08/2008,08/08/2008,,,E05000134,Gospel Oak,528341.41,185353.93,-0.1503,51.552495,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.552495, -0.1503)",18748,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-TRANS\001144,Premises Licence - Transfer Application,Kentish Delight Bar,"381 KENTISH TOWN ROAD, LONDON, NW5 2TJ",LA2003,No Representations Received - Awaiting LDR,No,,,,,16/10/2013,02/10/2013,,,E05000139,Kentish Town,528986.57,185239.77,-0.141042,51.551322,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.551322, -0.141042)",27146,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\003939,Premises - Variation of DPS,Iceland Ltd,"301 305 KENTISH TOWN ROAD, LONDON, NW5 2TJ",LA2003,Application Approved In Full,No,24/02/2016,,,,25/02/2016,11/02/2016,,,E05000139,Kentish Town,528976.64,185045.35,-0.141256,51.549577,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.549577, -0.141256)",22630,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARY\000342,Premises Licence -  Variation Application,Futura,"73 HAVERSTOCK HILL, LONDON, NW3 4SL",LA2003,Application Rejected,Yes,,,,15/04/2008,21/03/2008,22/02/2008,15/05/2008,,E05000136,Haverstock,527808.54,184642.34,-0.15824,51.546221,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.546221, -0.15824)",21771,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\009130,Temporary Event Notice,Temptation Coffee Bar,"7 MURRAY STREET, LONDON, NW1 9RE",LA2003,Application Approved,No,03/04/2013,,,,05/04/2013,02/04/2013,,,E05000131,Cantelowes,529598.47,184363.41,-0.132544,51.543306,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.543306, -0.132544)",12500,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\012819,Temporary Event Notice,The Abbey Tavern,"124 KENTISH TOWN ROAD, LONDON, NW1 9QB",LA2003,Application Approved,No,01/08/2016,,,,03/08/2016,29/07/2016,,,E05000131,Cantelowes,529008.65,184633.75,-0.140946,51.54587,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.54587, -0.140946)",9178,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-NEW\001463,Premises - New Licence,Ruby Violet Ice Cream Parlour,"118 FORTESS ROAD, LONDON, NW5 2HL",LA2003,Application Rejected - Incomplete Documentation,No,,,,,08/12/2014,10/11/2014,10/11/2014,,E05000139,Kentish Town,529107.97,185711.65,-0.139119,51.555534,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.555534, -0.139119)",28685,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\000333,Temporary Event Notice,Unicorn,"227 CAMDEN ROAD, LONDON, NW1 9AA",LA2003,Application Approved,No,16/05/2006,,,,12/05/2006,10/05/2006,,,E05000139,Kentish Town,529772.57,184964.12,-0.129813,51.548664,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.548664, -0.129813)",20770,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\005571,Temporary Event Notice,Pizza East/Chicken Shop (formerly Grand Union - Highgate),"53  79 HIGHGATE STUDIOS HIGHGATE ROAD, LONDON, NW5 1TL",LA2003,Application Approved,No,20/10/2010,,,,17/10/2010,15/10/2010,,,E05000139,Kentish Town,528765.7,185557.75,-0.144109,51.55423,Nearest OS Open Map-Local Building,11/05/2017 07:37:24 PM,"(51.55423, -0.144109)",15842,http://opendatacommunities.org/id/london-borough-council/camden
