,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
17480,APP\PREMISES-CONV\000599,Premises - Conversion of Licence,Hodge Jones & Allen,"174 178 NORTH GOWER STREET, LONDON, NW1 2NB",LA2003,Application Approved,No,18/08/2005,,,,16/08/2005,2005-07-18,,,E05000142,Regent's Park,529371.86,182534.27,-0.136481,51.526920000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.52692, -0.136481)",31253,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000599
17524,APP\PREMISES-CONV\000225,Premises - Conversion of Licence,Soho Wines Supply Ltd,"18 PERCY STREET, LONDON, W1T 1DX",LA2003,Application Rejected - Incomplete Documentation,No,,,,,06/07/2005,2005-07-06,08/06/2005,,E05000129,Bloomsbury,529729.97,181585.26,-0.131671,51.51831,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.51831, -0.131671)",31601,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000225
17565,APP\PREMISES-CONV\000112,Premises - Conversion of Licence,Cantina Augusto (Clerkenwell Road) Plc,"91  95 CLERKENWELL ROAD, LONDON, EC1R 5BX",LA2003,Application Approved,No,21/06/2005,,,,14/06/2005,2005-05-16,,,E05000138,Holborn and Covent Garden,531173.69,181983.52,-0.110728,51.521556,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.521556, -0.110728)",31699,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000112
17578,APP\PREMISES-CONV\000326,Premises - Conversion of Licence,Zizzi Restaurant,"1 HAMPSTEAD LANE, LONDON, N6 4RS",LA2003,Application Approved,No,03/08/2005,,,,19/07/2005,2005-06-20,,,E05000137,Highgate,528277.05,187460.59,-0.15045999999999998,51.571441,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.571441, -0.15046)",31507,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000326
17649,APP\PREMISES-CONV\000416,Premises - Conversion of Licence,The 10 Cases,"16 ENDELL STREET, LONDON, WC2H 9BD",LA2003,Application Approved,No,01/08/2005,,,,29/07/2005,2005-06-30,,Seven Dials,E05000138,Holborn and Covent Garden,530211.81,181163.2,-0.12488599999999998,51.514406,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.514406, -0.124886)",31425,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000416
17693,APP\PREMISES-CONV\000154,Premises - Conversion of Licence,Hampstead Food & Drinks,"200 WEST END LANE, LONDON, NW6 1SG",LA2003,Application Approved,No,16/07/2005,,,,24/06/2005,2005-05-26,,,E05000145,West Hampstead,525520.26,184974.34,-0.191104,51.549717,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.549717, -0.191104)",31666,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000154
17717,APP\PREMISES-CONV\000044,Premises - Conversion of Licence,Temptation Coffee Bar,"7 MURRAY STREET, LONDON, NW1 9RE",LA2003,Application Approved,No,15/07/2005,,,,01/06/2005,2005-04-29,,,E05000131,Cantelowes,529598.47,184363.41,-0.132544,51.543306,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.543306, -0.132544)",31749,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000044
17746,APP\PREMISES-CONV\000374,Premises - Conversion of Licence,ARBINA,"110 WHITFIELD STREET, LONDON, W1T 5ED",LA2003,Application Approved,No,06/08/2005,,,,27/07/2005,2005-06-28,,,E05000129,Bloomsbury,529311.16,182112.36,-0.137511,51.523142,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.523142, -0.137511)",31463,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000374
17870,APP\PREMISES-CONV\000055,Premises - Conversion of Licence,Eat Tokyo (formerly Edokko Restaurant),"50 RED LION STREET, LONDON, WC1R 4PF",LA2003,Application Rejected - Incomplete Documentation,No,,,,,07/06/2005,2005-05-05,10/05/2005,,E05000138,Holborn and Covent Garden,530692.5,181775.04,-0.117736,51.519793,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.519793, -0.117736)",31741,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000055
17906,APP\PREMISES-CONV\001222,Premises - Conversion of Licence,Deliverance,"8  10 WARNER STREET, LONDON, EC1R 5HA",LA2003,Application Approved,No,04/09/2005,,,,03/09/2005,2005-06-08,,,E05000138,Holborn and Covent Garden,531079.29,182172.38,-0.112017,51.523275,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.523275, -0.112017)",30691,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\001222
